mann,expansion_coeff,alpha_method,sf_method,max_abs,mean_abs,rmse
1.44,0.02,conveyance,avg,1.6747237736803982,0.8173218931752672,1.05347046406525
1.44,0.02,area,combined,1.9447815104227857,0.9253453158756656,1.1949984971076426
1.44,0.02,area,avg,1.6747237740056562,0.8173218934354736,1.0534704643146526
1.44,0.05,conveyance,combined,1.9965623844159381,0.9460576654729266,1.2229894233285379
1.44,0.05,conveyance,avg,1.6747237752772435,0.8173218944527434,1.0534704652896854
1.44,0.05,area,combined,2.0086830514107987,0.9509059322708708,1.229575380875777
1.44,0.05,area,avg,1.674723298774552,0.8173217039854535,1.053470223314015
1.44,0.1,conveyance,combined,2.0836107019915744,0.980876992503181,1.2705574148269627
1.44,0.1,conveyance,avg,1.674723301097515,0.817321705843824,1.0534702250952257
1.44,0.1,area,combined,2.0943880952402196,0.9851879498026392,1.2764886461969165
1.44,0.1,area,avg,1.6747233014473295,0.8173217061236755,1.0534702253634578
1.46,0.0,conveyance,combined,1.9514200327708977,0.9322220325648687,1.2033086007437486
1.46,0.0,conveyance,avg,1.6958303288192837,0.8299858295364174,1.0695522302648692
1.46,0.0,area,combined,1.9648011771722622,0.9375744903254144,1.2104987983134925
1.46,0.0,area,avg,1.6958303290882668,0.8299858297516038,1.0695522304722662
1.46,0.02,conveyance,combined,1.99686068511744,0.9503982935034856,1.2277916034719112
1.46,0.02,conveyance,avg,1.695830329861792,0.8299858303704241,1.0695522310686865
1.46,0.02,area,combined,2.0092308038354076,0.9553463409906726,1.2344882846488798
1.46,0.02,area,avg,1.6958298532987328,0.82998563985484,1.069551988926128
1.46,0.05,conveyance,combined,2.0551813639643797,0.9737265650422614,1.2594778222848055
1.46,0.05,conveyance,avg,1.695829854586691,0.8299856408852065,1.0695519899191976
1.46,0.05,area,combined,2.066522388564522,0.9782629748823183,1.2656722294467635
1.46,0.05,area,avg,1.6958298548686344,0.8299856411107612,1.0695519901365877
1.46,0.1,conveyance,combined,2.1350752768770462,1.005684130207328,1.3033290950007703
1.46,0.1,conveyance,avg,1.6958298571857995,0.8299856429644933,1.069551991923219
1.46,0.1,area,combined,2.145365875622474,1.0098003697054991,1.3090122866420701
1.46,0.1,area,avg,1.6958298574804758,0.8299856432002344,1.0695519921504266
1.48,0.0,conveyance,combined,2.015441672124325,0.9619409090101498,1.2425271802367888
1.48,0.0,conveyance,avg,1.716381448446782,0.8423165045345058,1.08537623302544
1.48,0.0,area,combined,2.0277089066129292,0.9668478028055916,1.2491627594310355
1.48,0.0,area,avg,1.7163809718504126,0.8423163139922736,1.0853759907800034
1.48,0.02,conveyance,combined,2.055961446200854,0.9781488186407614,1.264493712850766
1.48,0.02,conveyance,avg,1.7163809726748696,0.8423163146518391,1.0853759914189147
1.48,0.02,area,combined,2.0674901365122196,0.9827602947653077,1.2707686848673645
1.48,0.02,area,avg,1.7163809729202057,0.8423163148481081,1.0853759916090377
1.48,0.05,conveyance,combined,2.109040292692953,0.999380357237601,1.293472545043611
1.48,0.05,conveyance,avg,1.7163809742708054,0.8423163159285878,1.0853759926556823
1.48,0.05,area,combined,2.1197777795280217,1.0036753519716286,1.2993616410843656
